Module,Feature ID,Feature Name,Description,FE Hours,BE Hours,AI Hours,Total Hours,Priority,Status,Complexity,Notes
,,,,,,,,,,
MODULE 1: DATA ARCHITECTURE & AUTH,,,,,,,,,,,
M1,M1-01,Database Schema Design,"Design & create all PostgreSQL tables (users, companies, products, variants, orders, etc.)",0,16,0,16,P0,Done,Medium,"8 tables with enums, indexes, constraints"
M1,M1-02,Row Level Security Policies,"RLS policies for all tables ensuring user-scoped data access",0,8,0,8,P0,Done,Medium,Security-critical - needs thorough testing
M1,M1-03,Database Triggers & Functions,"Auto-update timestamps, order/brief number generators",0,6,0,6,P0,Done,Low,Standard trigger patterns
M1,M1-04,Seed Data & Migrations,"Product catalog seed data, migration scripts",0,4,0,4,P0,Done,Low,6 products with 15 variants
M1,M1-05,TypeScript Type Definitions,"Complete TS interfaces matching all DB tables & enums",4,0,0,4,P0,Done,Low,Must stay in sync with schema
M1,M1-06,Supabase Client Setup,"Client initialization, auth helpers, storage config",2,4,0,6,P0,Done,Low,Client + server-side clients
M1,M1-07,User Authentication (Supabase Auth),"Sign up, sign in, OAuth (Google/GitHub), password reset, email verification",16,8,0,24,P0,Pending,Medium,Supabase Auth + custom profile creation
M1,M1-08,User Profile Management,"Profile page, avatar upload, address management, preferences",12,6,0,18,P1,Pending,Medium,CRUD operations + file upload
M1,M1-09,Company/B2B Account Setup,"Company registration, VAT validation, team member invites",16,12,0,28,P1,Pending,High,VAT API integration + multi-user company
,,,,,,,,,,
MODULE 2: PRODUCT CATALOG & CONFIGURATOR,,,,,,,,,,,
M2,M2-01,Homepage - Hero & Layout,"Responsive hero section, nav header, footer, CTA sections",16,0,0,16,P0,Done,Medium,Framer Motion animations
M2,M2-02,Product Catalog Page,"Grid/list views, search, category filters, sorting",14,4,0,18,P0,Done,Medium,Client-side filtering now; needs server-side for scale
M2,M2-03,Material Selector Component,"Radio cards with eco labels, material metadata display",6,0,0,6,P0,Done,Low,3 material types with rich UI
M2,M2-04,Dimension Selector Component,"Preset sizes toggle + custom sliders with min/max enforcement",10,0,0,10,P0,Done,Medium,Slider + input sync with validation
M2,M2-05,Quantity Selector + Discount Tiers,"Step buttons, volume discount tier visualization, savings prompts",8,0,0,8,P0,Done,Medium,4 discount tiers with interactive UI
M2,M2-06,Print Type Selector,"Unprinted/Single/Full-color selection with price indicators",4,0,0,4,P0,Done,Low,3 options with surcharge display
M2,M2-07,Finish Selector,"Matte/Glossy/Foil/Spot UV/Embossed grid selection",4,0,0,4,P0,Done,Low,Dynamic based on variant availability
M2,M2-08,Dynamic Pricing Engine,"Surface area formula, volume discounts, print surcharges, setup fee amortization",4,8,0,12,P0,Done,High,"Core business logic - A=2*(LW+WD+LD), tiered discounts"
M2,M2-09,Pricing Summary Panel,"Real-time unit/total price, delivery estimate, sustainability impact, cashback display",10,0,0,10,P0,Done,Medium,Animated price transitions
M2,M2-10,Product Gallery/Viewer,"Multi-view image carousel with material-reactive styling, dimension overlay",10,0,0,10,P0,Done,Medium,4 views with animated transitions
M2,M2-11,Product Configuration Page,"Full 3-column layout composing all selector components",8,2,0,10,P0,Done,Medium,Sticky sidebar + accordion layout
M2,M2-12,Server-Side Product Data,"API routes for products/variants with pagination, Supabase queries",4,12,0,16,P1,Pending,Medium,Replace mock data with real DB queries
M2,M2-13,Product Search (Full-Text),"PostgreSQL full-text search on product name/description/features",4,8,0,12,P2,Pending,Medium,pg_trgm or tsvector indexing
M2,M2-14,AI-Powered Product Recommendations,"Suggest products based on user history, industry, order patterns",8,8,24,40,P3,Pending,High,ML model for collaborative filtering or embeddings-based
,,,,,,,,,,
MODULE 3: 3D PACKAGING EDITOR,,,,,,,,,,,
M3,M3-01,3D Scene Setup (R3F),"Canvas, PBR lighting, environment map, orbit controls, shadows",12,0,0,12,P0,Done,High,React Three Fiber + drei
M3,M3-02,Reactive Box Mesh,"3D box scaled to dimensions from Zustand store",8,0,0,8,P0,Done,Medium,Real-time dimension binding
M3,M3-03,Face Texture Mapping System,"Per-face 512x512 HTML Canvas textures mapped to box geometry",16,0,0,16,P0,Done,High,6-face canvas generation + UV mapping
M3,M3-04,Face Selector UI,"6-face grid selector (Front/Back/Top/Bottom/Left/Right)",4,0,0,4,P0,Done,Low,Active face highlight on mesh
M3,M3-05,Color Picker Tool,"16 presets + full hex color picker for base material",6,0,0,6,P0,Done,Low,react-colorful integration
M3,M3-06,Image Upload & Placement,"Upload PNG/SVG/JPG, position/scale/rotation sliders per face",14,4,0,18,P0,Done,High,FileReader + canvas rendering + Supabase Storage
M3,M3-07,Text Layer Engine,"Add/edit rich text with fonts, colors, size, position, rotation",14,0,0,14,P0,Done,High,8 fonts, per-face text layers
M3,M3-08,Dimension Controls,"Length/Width/Depth sliders with live 3D mesh update",6,0,0,6,P0,Done,Medium,20-600mm range with step controls
